country,n_years,N_total,OR_per_year,lo95,hi95,p,target
UNKNOWN,16,7833142,1.0173134194226117,1.0172997999377924,1.017327039089767,0.0,title
China,16,1871343,1.1091569499649852,1.1090929123755615,1.1092209912518567,0.0,title
United States,16,1722560,1.048367093893038,1.048331978393724,1.0484022105686002,0.0,title
India,16,790356,1.1074134058087342,1.1072760815715028,1.1075507470768995,0.0,title
United Kingdom,16,687999,1.0377053646957402,1.037640590889093,1.0377701425458357,0.0,title
Germany,16,431972,1.120834450688339,1.1206100207480019,1.121058925576336,0.0,title
Japan,16,294212,1.0969569939062787,1.0966301451945262,1.0972839400347225,0.0,title
Italy,16,257040,1.0924355945567876,1.0921939696713285,1.0926772728966578,0.0,title
South Korea,16,252293,1.0626233873814475,1.0622491925438389,1.0629977140353732,0.0,title
France,16,227932,1.0974653726077415,1.096950848045786,1.0979801385073331,0.0,title
Canada,16,220934,1.0459911347097475,1.0458120533415003,1.046170246743291,0.0,title
Russia,16,205960,1.1706461534448356,1.1701034564254782,1.1711891021684786,0.0,title
Spain,16,205538,1.096152133799225,1.0957111073690462,1.0965933377436323,0.0,title
Iran,16,186452,1.076633135169474,1.0759424364345187,1.0773242772968694,0.0,title
Brazil,16,184237,1.1456869899311741,1.1449782085944402,1.1463962100282088,0.0,title
Australia,16,182412,1.0378998283573644,1.0376752169851249,1.0381244883481575,0.0,title
Turkey,16,172869,1.0308856615537858,1.0302656702971573,1.031506025907538,0.0,title
Poland,16,138156,1.121230838893887,1.1206307909624347,1.12183120812431,0.0,title
Netherlands,16,108397,1.0593591211635078,1.0590681246464932,1.0596501976366377,0.0,title
Taiwan,16,86225,1.064883311089412,1.0641566405834901,1.065610477809899,0.0,title
Sweden,16,83654,1.054313773317316,1.053794662357552,1.0548331399969069,0.0,title
Saudi Arabia,16,79036,1.167697429148435,1.1660257223999753,1.169371532587979,0.0,title
South Africa,16,79035,1.0157471947052485,1.0152015956575902,1.0162930869738023,0.0,title
Mexico,16,70648,1.0576950315688305,1.056623279626826,1.0587678706080508,0.0,title
Switzerland,16,63603,1.1182853544500146,1.1166443005206153,1.1199288201214506,0.0,title
Norway,16,52006,1.0926144080766014,1.0910703817583751,1.0941606194209368,0.0,title
Portugal,16,49193,1.0254329541666172,1.0240427261231844,1.0268250695668597,2.9697252287599473e-288,title
Greece,16,46679,1.0819904406684002,1.0805450462579633,1.0834377685151237,0.0,title
Finland,16,46176,1.0755235698859285,1.0745053394043467,1.076542765270406,0.0,title
Israel,16,45694,1.1026951542177303,1.1019165723102022,1.103474286248382,0.0,title
Czechia,16,45675,1.1580188601474612,1.1567625402779769,1.1592765444625939,0.0,title
Belgium,16,43854,1.0825113614511623,1.0812138425670594,1.0838104374326574,0.0,title
Denmark,16,41503,1.0850918917427153,1.0840094865911563,1.0861753776974652,0.0,title
Austria,16,37209,1.098231496276165,1.0962320838117923,1.1002345554593864,0.0,title
Singapore,16,36806,1.0314741303034272,1.030336009762284,1.0326135080250958,0.0,title
New Zealand,16,32199,1.0170350026231536,1.016200913907325,1.017869775951618,0.0,title
Ireland,16,26804,1.0535291114979326,1.0518416979120866,1.0552192321114762,0.0,title
Hong Kong,16,26577,1.03251263811908,1.031405801013345,1.0336206630098532,0.0,title
United Arab Emirates,12,15730,1.0156021898062155,1.0121869704271247,1.0190289324747261,2.093368190233789e-19,title
