pub_year,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,target
2010,573735,1597,0.0027835150374301725,0.0026504763122203673,0.002923211971964267,title
2011,619953,1798,0.0029002198553761335,0.0027694042125835385,0.0030371958893685674,title
2012,692532,2121,0.00306267436017397,0.0029352615054126043,0.003195600183820499,title
2013,784638,2378,0.003030696958342573,0.002911480228984524,0.003154779824100472,title
2014,888573,2879,0.003240026424390568,0.003123994567868445,0.0033603534254476914,title
2015,928889,3113,0.0033513153885986378,0.0032358226323549164,0.003470915950145909,title
2016,979382,3500,0.0035736821791701296,0.003457431170158401,0.0036938274679982324,title
2017,1041137,3696,0.003549965086247055,0.0034375382008670287,0.0036660554382585138,title
2018,1155793,4189,0.0036243514193285476,0.0035164333109408553,0.0037355690809685424,title
2019,1250507,4705,0.003762473940569705,0.003656681868618181,0.0038713148081948702,title
2020,1408496,5960,0.004231463916120458,0.004125607660717413,0.004340024430849495,title
2021,1499230,6518,0.004347565083409484,0.004243512403683824,0.0044541577650553995,title
2022,1536944,6565,0.004271463371469618,0.0041695905195327345,0.00437581427856014,title
2023,1702456,7744,0.0045487225514198315,0.004448754512272496,0.004650926479642058,title
2024,1690890,7752,0.004584567890282632,0.004483865253718585,0.00468752154691065,title
2025,1079802,4801,0.004446185504379507,0.004322448303043113,0.004573448616576416,title
