doc_type,measure,n_years,N_total,OR_per_year,lo95,hi95,p
Research Article,title,16,10931137,1.0647394092205444,1.0647297958707853,1.0647490226571017,0.0
Review,title,16,1573605,1.0660912429075449,1.066054120583403,1.0661283665243666,0.0
Case Report,title,16,501120,1.0025091599238354,1.002368618792144,1.0026497207606628,6.894378092344496e-269
Clinical Trial,title,16,388502,1.0145997912224094,1.0144570516349452,1.0147425508941048,0.0
Other/Unclear,title,13,45519,0.9488788253822953,0.9465056571885928,0.9512579438069688,0.0
Meta-analysis,title,16,39120,0.9509403332289791,0.9495373905649631,0.9523453487425091,0.0
Comment/Reply,title,16,37772,0.974819679580877,0.9737162584886655,0.9759243510764746,0.0
Editorial,title,16,35907,1.003293866564308,1.0016632612715477,1.0049271263156312,7.417836978255773e-05
Letter/Correspondence,title,16,25693,1.0973754715936488,1.0963396889479826,1.0984122328098254,0.0
Retraction,title,6,11784,0.991578360310957,0.9814154637191019,1.0018464972122987,0.10761773910809225
