pub_year,n_hits,n_metaphor,share_metaphor,lo95,hi95
2010,8299,1960,0.23617303289552957,0.22715846531685616,0.2454317290499314
2011,10770,2591,0.2405756731662024,0.232596575808447,0.24873976820977445
2012,11395,2747,0.2410706450197455,0.23330523455202978,0.2490105761101436
2013,13610,3172,0.23306392358559883,0.22603694135179403,0.24024155013951048
2014,14228,3481,0.24465842001686816,0.23766432891007894,0.25179035472844374
2015,15310,3680,0.240365774003919,0.2336628351051752,0.24719897077300704
2016,16248,3958,0.24359921221073363,0.23706004419341178,0.2502595914853007
2017,15700,3800,0.24203821656050956,0.2354020095662061,0.24880062828898514
2018,17104,4214,0.24637511693171188,0.23997487911696697,0.25288925450950467
2019,18473,4586,0.24825420884534186,0.24207733279460708,0.25453576416089135
2020,25378,6346,0.2500591063125542,0.2447693252151694,0.2554245428861003
2021,30259,7590,0.2508344624739747,0.24598198733829096,0.2557501940063352
2022,32562,8213,0.25222652171242554,0.24753885974948817,0.25697263827509464
2023,30541,8070,0.2642349628368423,0.2593197801947119,0.2692094472555323
2024,31863,8471,0.2658569500674764,0.261034521454669,0.2707358292629767
2025,28206,7525,0.2667872083953769,0.26165773250969715,0.2719801995146828
