pub_year,std_prev,std_lo95,std_hi95,L_star,target
2010,0.015392032640040295,0.015385601617310623,0.015398466308831672,250,abstract
2011,0.01581393354284308,0.015807801621806054,0.015820067804247256,250,abstract
2012,0.01624720806711845,0.0162413761757238,0.016253042018009117,250,abstract
2013,0.016692152230583988,0.016686615232735416,0.016697691034534872,250,abstract
2014,0.017149069167695187,0.01714381365549518,0.017154326262876378,250,abstract
2015,0.017618269267842993,0.017613270788589493,0.017623269140170324,250,abstract
2016,0.018100070314314105,0.018095290153896694,0.01810485171420405,250,abstract
2017,0.01859479762388464,0.018590179612462485,0.01859941676073241,250,abstract
2018,0.019102784186909142,0.019098252506084636,0.019107316922076227,250,abstract
2019,0.019624370807755247,0.019619830182345598,0.019628912462964096,250,abstract
2020,0.02015990624542389,0.020155245586693907,0.020164567959696483,250,abstract
2021,0.020709747354182864,0.02070484650420619,0.020714649339656006,250,abstract
2022,0.02127425922402962,0.021268996729896645,0.021279522991928666,250,abstract
2023,0.02185381532078636,0.021848074712613914,0.02185955740360221,250,abstract
2024,0.022448797625617033,0.022442470857537585,0.02245512613630877,250,abstract
2025,0.02305959677374224,0.02305258503764512,0.023066610592192647,250,abstract
